"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
50703767,-67.3,42.1,"NOAA Northeast Fisheries Science Center (NEFSC)","Chondrichthyes","2280","2021-08-17","2021-08-17",3,18,1,,,,"7406:227:103","POLYGON((-67.3 42,-67.4 42,-67.4 42.1,-67.3 42.1,-67.3 42))"
50703787,-67.2,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata;Carcharodon carcharias;Cetacea;Chondrichthyes;Prionace glauca","2280","2021-08-04","2021-09-14",9,10,5,,,,"7406:227:112","POLYGON((-67.2 42.1,-67.3 42.1,-67.3 42.2,-67.2 42.2,-67.2 42.1))"
50703781,-67.1,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata;Carcharodon carcharias;Chondrichthyes;Delphinidae;Delphinus delphis","2280","2021-08-04","2021-08-17",9,263,5,,,,"7406:227:111","POLYGON((-67.1 42.1,-67.2 42.1,-67.2 42.2,-67.1 42.2,-67.1 42.1))"
50703775,-67.0,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Balaenoptera acutorostrata;Delphinus delphis","2280","2021-08-04","2021-08-17",12,755,2,,,,"7406:227:110","POLYGON((-67 42.1,-67.1 42.1,-67.1 42.2,-67 42.2,-67 42.1))"
50703791,-67.3,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Carcharodon carcharias;Cetorhinus maximus;Chondrichthyes","2280","2021-08-04","2021-08-17",6,18,3,,,,"7406:227:113","POLYGON((-67.3 42.1,-67.4 42.1,-67.4 42.2,-67.3 42.2,-67.3 42.1))"
50703796,-67.4,42.2,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinidae;Delphinus delphis;Megaptera novaeangliae;Prionace glauca;Tursiops truncatus","2280","2021-08-04","2021-09-14",5,165,5,,,,"7406:227:114","POLYGON((-67.4 42.1,-67.5 42.1,-67.5 42.2,-67.4 42.2,-67.4 42.1))"
50703800,-67.4,42.4,"NOAA Northeast Fisheries Science Center (NEFSC)","Prionace glauca","2280","2021-09-14","2021-09-14",2,2,1,,,,"7406:227:133","POLYGON((-67.3 42.3,-67.4 42.3,-67.4 42.4,-67.3 42.4,-67.3 42.3))"
50703797,-67.2,42.3,"NOAA Northeast Fisheries Science Center (NEFSC)","Prionace glauca","2280","2021-09-14","2021-09-14",1,1,1,,,,"7406:227:122","POLYGON((-67.2 42.2,-67.3 42.2,-67.3 42.3,-67.2 42.3,-67.2 42.2))"
50703799,-67.3,42.3,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinus delphis;Prionace glauca","2280","2021-09-14","2021-09-14",2,21,2,,,,"7406:227:132","POLYGON((-67.2 42.3,-67.3 42.3,-67.3 42.4,-67.2 42.4,-67.2 42.3))"
50703801,-67.4,42.4,"NOAA Northeast Fisheries Science Center (NEFSC)","Delphinidae","2280","2021-09-14","2021-09-14",1,1,1,,,,"7406:227:143","POLYGON((-67.3 42.4,-67.4 42.4,-67.4 42.5,-67.3 42.5,-67.3 42.4))"
